words,commit_message
74,d3a49dacf2 Fix the spelling of network within the setproducts function documentation.
52,05ff3c3278 Add a GCS backend specific env var for impersonation
50,5fcf1e5051 Merge pull request #32549 from patsevanton/patch-1
20,9459f0b214 refactor ProposedNew
73,f26786d6d9 Merge pull request #32545 from hashicorp/nf/jan23-cloud-backend-test-typo
23,375c2da3e3 update NestingMap logic
44,fcbfc365e6 fix panics when handling null values in maps
82,3b26f68737 Merge pull request #32543 from hashicorp/nf/jan23-attr-path-value-marks-corruption
47,8e917e5513 check for non-computed within optional+computed
21,119bff6ca2 Fix Examples ip_addrs
87,9001bef525 fix the outputs of equivalence tests that were executed with the wrong version (#32547)
98,82b5cfad7e Add more equivalence tests that are testing edge cases around the new structured renderer (#32538)
88,7d1ea52077 Structured Plan Renderer: another round of fixes after more equivalence testing (#32537)
62,acf7314587 Fix typo in cloud backend's `TestCloud_setConfigurationFields`
45,125aaef9d9 Merge pull request #32514 from Paramount/main
65,83428c91f1 Fix accidental mutation of shared `cty.Path`s in ValueMarks funcs
16,e16b848d00 expand test case
17,7ca9abe463 optional+computed
42,470ed22730 failing tests for nested sets in objchange
43,048ee3432c better handling of nested sets in objchange
84,6dc49150b7 Structured Plan Renderer: Read the data source schemas from the right place (#32532)
8,ac4f5fe2f9 reformat
26,986127e619 remove unused isConfig arg
33,e661e91bff failing test for nested set types
19,7a019fa767 Update CHANGELOG.md
74,8d61c5bfc4 Use the new structured renderer in place of the old diffs package (#32520)
44,93f739e927 optional+computed can contain nested objects
62,5ac03755e7 Merge pull request #32303 from mrinalirao/mr/policy-evaluation
89,99823e4a15 Structured Plan Renderer: Fix minor bugs causing diffs in the equivalence tests. (#32519)
101,e015b15f12 Structured Plan Renderer: Remove attributes that do not match the relevant attributes filter (#32509)
34,4fd8322802 Add function descriptions (#32453)
48,dcd2826277 refactor runTaskStage func & use multierrors lib
23,9932642442 removed double negation
74,b9fc2d62d1 Merge pull request #32510 from hashicorp/jbardin/terraform-data-typed-null
26,e09b67bebd simplify output assignment
46,e2a6397a06 typed null input should be reflected in output
63,4d2e75bbda Merge branch 'mr/refactor-task-stage' into mr/policy-evaluation
84,95782f2491 Structured plan renderer: Implement the main functionality for the renderer (#32496)
75,af0ff90d6e Remove outputs from the jsonplan that are not from the root module (#32503)
57,c125397da1 push the colorize actions as locally as possible (#32502)
70,df601a7fd0 Merge pull request #32500 from hashicorp/jbardin/old-condition-results
45,96b1318167 remove deprecated condition_results from plan
68,0a73e216e5 Merge pull request #32463 from hashicorp/jbardin/nesting-single-null
63,f6d625103c Structured plan renderer: refactor replace paths logic (#32489)
83,38afb41787 Structured plan renderer: Introduce support for multiline and JSON strings (#32488)
83,8330b7295b Structured plan renderer: Add support for map blocks and sensitive blocks. (#32491)
80,0b8c65fa4e docs: Explicitly mention Computed-only attribute behavior for Proposed New State
72,21bb677db7 Structured Plan Renderer: Naming and package structure refactor (#32486)
84,a086453783 Structured Plan Renderer: Refactor Primitive and Sensitive value processing (#32476)
91,46ab53d651 Structured Plan Renderer: Escape object and block keys that don't match HCL syntax (#32483)
82,7a3fc48b70 Structured Plan Renderer: Add tests validating behaviour of dynamic types (#32482)
65,d31631675b Add support for Tuples into the structured plan renderer (#32479)
74,2d66eee872 Structured Plan Renderer: Address comments raised in previous PRs (#32478)
75,1332d315b6 Structured Plan Renderer: Remove generic `interface{}` entry point (#32477)
59,9bc5ded27a Add support for outputs in the structured renderer (#32426)
58,05f1764a0d Add support for blocks in the structured renderer (#32422)
56,69cce3597f Add support for sets in the structured renderer (#32409)
57,aff94591c1 Add support for lists in the structured renderer (#32401)
56,8975eebf84 Add support for maps in the structured renderer (#32397)
74,b097d8873d Add support for the replace paths data in the structured renderer (#32392)
69,1eebcf875f Add support for object attributes in the structured renderer (#32391)
75,b8b1a8d430 Add support for unknown/computed values in the structured renderer (#32378)
68,6ab277f6ba Add support for sensitive values in the structured renderer (#32375)
78,71daef058f Add rendering functionality for primitives to the structured renderer (#32373)
63,aff7d360e1 Add skeleton functions and API for refactored renderer (#32368)
78,b917154a97 Make required JSON structured output structures public for processing (#32367)
54,4fc02469e7 docs: delete outdated Resource Lifecycle page (#32387)
66,e200f53ec0 Merge pull request #32464 from hashicorp/jbardin/output-check-refs
46,45cb0489d0 test references only from output preconditions
33,1790f844b3 output refs missing error_message
32,d5d6d61c4c NestingSingle blocks can be null
19,6e2a7496c4 update CHANGELOG.md
69,721df0e68d Merge pull request #32395 from hashicorp/jbardin/plan-output-on-error
69,8e1b660b79 Update equivalence tests to counter non-deterministic output (#32366)
69,5bcfd36c26 Merge pull request #32428 from hashicorp/jbardin/ignore-changes-panic
